LeaderID,ObsID,CountryCode,StartDate,EndDate,Year,TenureStart,TenureEnd,LeftOffice,Age,Female,LatinAm,Europe,Africa,Asia,MidEast
A2.5-1,USA-1869,2,04mar1869,31dec1869,1869,1,2,0,47,0,0,0,0,0,0
A2.5-1,USA-1869,2,01jan1870,31dec1870,1870,2,3,0,48,0,0,0,0,0,0
A2.5-1,USA-1869,2,01jan1871,31dec1871,1871,3,4,0,49,0,0,0,0,0,0
A2.5-1,USA-1869,2,01jan1872,31dec1872,1872,4,5,0,50,0,0,0,0,0,0
A2.5-1,USA-1869,2,01jan1873,31dec1873,1873,5,6,0,51,0,0,0,0,0,0
A2.5-1,USA-1869,2,01jan1874,31dec1874,1874,6,7,0,52,0,0,0,0,0,0
A2.5-1,USA-1869,2,01jan1875,31dec1875,1875,7,8,0,53,0,0,0,0,0,0
A2.5-1,USA-1869,2,01jan1876,31dec1876,1876,8,9,0,54,0,0,0,0,0,0
A2.5-1,USA-1869,2,01jan1877,04mar1877,1877,8,9,1,55,0,0,0,0,0,0
A2.5-4,USA-1877,2,04mar1877,31dec1877,1877,1,2,0,55,0,0,0,0,0,0
A2.5-4,USA-1877,2,01jan1878,31dec1878,1878,2,3,0,56,0,0,0,0,0,0
A2.5-4,USA-1877,2,01jan1879,31dec1879,1879,3,4,0,57,0,0,0,0,0,0
A2.5-4,USA-1877,2,01jan1880,31dec1880,1880,4,5,0,58,0,0,0,0,0,0
A2.5-4,USA-1877,2,01jan1881,04mar1881,1881,4,5,1,59,0,0,0,0,0,0
A2.5-7,USA-1881-1,2,04mar1881,19sep1881,1881,1,2,1,50,0,0,0,0,0,0
A2.5-10,USA-1881-2,2,19sep1881,31dec1881,1881,0,1,0,52,0,0,0,0,0,0
A2.5-10,USA-1881-2,2,01jan1882,31dec1882,1882,1,2,0,53,0,0,0,0,0,0
A2.5-10,USA-1881-2,2,01jan1883,31dec1883,1883,2,3,0,54,0,0,0,0,0,0
A2.5-10,USA-1881-2,2,01jan1884,31dec1884,1884,3,4,0,55,0,0,0,0,0,0
A2.5-13,USA-1885,2,04mar1885,31dec1885,1885,1,2,0,48,0,0,0,0,0,0
