ccode,country,year,cyr,genyr,severity,magnitud,maglag,stfl,stfllag,coups,couplag,coldwar,regtype,rtyplag,marg,iperp,itarget,ineutral,iperplag,itarglag,ineutlag,ainr,ainr2y,ainr2ylg,ainr3y,aibr,aibr2y,aibr2ylg,aibr3y,ainrlag,aibrlag,economist,newsweek,avmdia,avmdia2y,avm2ylag,avmdia3y,econolag,nwswklag,avmdiala,pop,lpop,lpoplag,usmil,lusmil,usmillag,lusmilag,unchr,unchrlag,physint,ptsavg,archigos,archilag,punishlg,mag010,mag010lg,telephon,telep100,chngtele,chngtlag,ainr3ylg,aibr3ylg,avm3ylag
90,Guatemala,1978,901978,1,650,0.5,0,1,1,0,0,1,-5,-3,10.53,0,0,0,0,0,0,1,1,1,2,1,2,2,4,0,1,0,0,0,1,0,1,0,0,0,6345655,15.66,15.64,0,-3.69,1.4,0.34,1,0,,4,0,0,0,1,0,74237,1.1108705,15.12111,,1,3,1
90,Guatemala,1979,901979,2,650,0.5,0.5,1,1,0,0,1,-5,-5,11.61,0,0,0,0,0,0,2,3,1,4,19,20,2,22,1,1,1,0,1,1,1,2,0,0,0,6495749,15.69,15.66,0,-3.69,0,-3.69,1,1,,4,0,0,4,1,1,78623,1.1483905,5.908105,15.12111,2,4,1
90,Guatemala,1980,901980,3,6000,2,0.5,1,1,0,0,1,-5,-5,12.61,0,0,0,0,0,0,0,2,3,3,25,44,20,45,2,19,1,1,1,2,1,2,1,0,1,6649593,15.71,15.69,0,,0,-3.69,1,1,,4.5,0,0,4,4,1,82975,1.1827039,5.535276,5.908105,4,22,2
90,Guatemala,1981,901981,4,6000,2,2,1,1,0,0,1,-5,-5,13.35,0,0,0,0,0,0,1,1,2,3,18,43,44,62,0,25,2,2,2,3,2,4,1,1,1,6828684,15.74,15.71,0,,0,,1,1,0,4.5,0,0,4,4,4,88587,1.2318133,6.763483,5.535276,3,45,1.5
90,Guatemala,1982,901982,5,48000,3.5,2,1,1,3,0,1,-7,-5,14.41,0,0,0,0,0,0,1,2,1,2,20,38,43,63,1,18,8,3,6,8,3,9,2,2,2,6982721,15.76,15.74,0,,0,,1,1,1,4.5,1,0,4,7,4,98670,1.3381991,11.382031,6.763483,3,62,3.5
90,Guatemala,1983,901983,6,3000,1.5,3.5,1,1,1,3,1,-7,-7,15.37,0,0,0,0,0,0,0,1,2,2,16,36,38,54,1,20,4,3,4,10,8,12,8,3,6,7188649,15.79,15.76,0,,0,,1,1,1,4.5,1,1,4,3,7,106125,1.4038621,7.555488,11.382031,2,63,8.5
90,Guatemala,1984,901984,7,1500,1,1.5,1,1,0,1,1,-6,-7,15.52,0,0,0,0,0,0,0,0,1,1,13,29,36,49,0,16,0,0,0,4,10,10,4,3,4,7380338,15.81,15.79,0,,0,,1,1,0,4.5,0,1,4,2,3,117151,1.5120326,10.389635,7.555488,2,54,11
90,Guatemala,1985,901985,8,1500,1,1,1,1,0,0,1,-2,-6,16.86,0,0,0,0,0,0,0,0,0,0,22,35,29,51,0,13,1,0,1,1,4,5,0,0,0,7580844,15.84,15.81,0.8,-0.22,0,,1,1,0,4.5,0,0,4,2,2,128179,1.6149341,9.413492,10.389635,1,49,9
90,Guatemala,1986,901986,9,650,0.5,1,1,1,0,0,1,3,-2,20.61,0,0,0,0,0,0,1,1,0,1,11,33,35,46,0,22,0,1,1,2,1,2,1,0,1,7819999,15.87,15.84,9,2.2,0.8,-0.22,1,1,0,4,0,0,4,1,2,130971,1.6116257,2.1782038,9.413492,0,51,4
90,Guatemala,1987,901987,10,650,0.5,0.5,1,1,0,0,1,3,3,19.87,1,0,0,0,0,0,1,2,1,2,8,19,33,41,1,11,0,0,0,1,2,2,0,1,1,8159885,15.91,15.87,9,2.2,9,2.2,1,1,4,4,0,0,4,1,1,132718,1.5956844,1.333883,2.1782038,1,46,1
